,percent
35683,1.6%
35684,0.7%
35685,0.6%
35686,3.7%
35687,4.0%
35688,3.9%
35689,0.2%
35690,0.2%
35691,0.5%
35692,1.2%
35693,1.1%
35694,1.3%
35695,3.4%
35696,1.5%
35697,1.3percent
35698,1.2percent
35699,1.2percent
35700,1.9percent
35701,0.4percent
35702,0.7percent
35703,1.1percent
35704,1.2percent
35705,0.1percent
35706,6.1percent
35707,0.3percent
35708,2percent
35709,50%
35710,13%
35711,3%
35712,2%
35713,2%
35714,2%
35715,2.65%
35716,2.5%
35717,3%
35718,2percent
35719,1.3percent
35720,8percent
35721,5percent
35722,12.0%
35723,0.7%
35724,0.8%
35725,45percent
35726,40percent
35727,8percent
35728,4percent
35729,3.5percent
35730,0.2%
35731,0.2%
35732,0.1%
35733,0.7%
35734,0.3%
35735,0.18%
35736,0.48%
35737,0.62%
35738,heavypercent
35739,23%
35740,19.94%
35741,20%
35742,50%
35743,50%
35744,18.06%
35745,28%
35746,80%
35747,9%
35748,16%
35749,65%
35750,supercent
35751,90%
35752,28%
35753,19%
35754,supercent
35755,supercent
35756,supercent
35757,Supercent
35758,supercent
35759,35%
35760,supercent
35761,supercent
35762,100%
35763,300%
35764,20%
35765,3%
35766,6.1%
35767,3.3%
35768,4.6%
35769,3%
35770,60%
35771,7%
35772,5%
35773,5%
35774,47%
35775,21%
35776,80percent
35777,58percent
35778,67percent
35779,16percent
35780,79.2percent
35781,79.4percent
35782,66.8percent
35783,5percent
35784,10percent
35785,0.05%
35786,0.05%
35787,fundpercent
35788,0.0%
35789,0.0%
35790,0.56%
35791,0.60%
35792,0.0%
35793,0.0%
35794,1.18%
35795,0.46%
35796,0.79%
35797,0.64%
35798,0.67%
35799,0.51%
35800,0.52%
35801,0.66%
35802,1.57%
35803,1%
35804,99%
35805,8.4%
35806,9%
35807,52%
35808,81%
35809,1%
35810,10%
35811,22%
35812,12.9%
35813,4.4%
35814,1%
35815,99.5%
35816,1%
35817,1%
35818,1%
35819,1%
35820,1%
35821,0.1%
35822,25%
35823,30%
35824,1%
35825,1%
35826,0.5%
35827,0.25%
35828,0.10%
35829,0.01%
35830,0.01%
35831,1%
35832,0.1%
35833,99%
35834,4%
35835,1%
35836,0.1%
35837,1%
35838,1%
35839,0.1%
35840,1%
35841,0.5%
35842,99%
35843,99.5%
35844,0.5%
35845,0.5%
35846,0.5%
35847,99.5%
35848,99.5%
35849,0.1%
35850,0.5%
35851,0.1%
35852,99.5%
35853,0.1%
35854,31%
35855,31%
35856,40%
35857,30%
35858,5.25%
35859,35%
35860,10%
35861,99.9%
35862,0.5%
35863,0.1%
35864,1%
35865,8%
35866,10%
35867,1%
35868,0.5%
35869,0.1%
35870,1%
35871,1%
35872,6.9%
35873,100%
35874,0.6%
35875,0.5%
35876,0.3%
35877,0.5%
35878,1%
35879,42.6percent
35880,31.5percent
35881,0.25percent
35882,20%
35883,40%
35884,50%
35885,0%
35886,70%
35887,5%
35888,10%
35889,74percent
35890,fourpercent
35891,3.6percent
35892,10percent
35893,3.9percent
35894,7.4percent
35895,2.4percent
35896,8.9percent
35897,17.8percent
35898,20percent
35899,7percent
35900,8.7percent
35901,5.1percent
35902,5.6percent
35903,47%
35904,6.7%
35905,6.6%
35906,6.6%
35907,6.7%
35908,0.3%
35909,11.2%
35910,42%
35911,36%
35912,1%
35913,2.6%
35914,37%
35915,50%
35916,20%
35917,35%
35918,2.9%
35919,1.4%
35920,1.4%
35921,2.0%
35922,2.6%
35923,30%
35924,4%
35925,33%
35926,8.9%
35927,9.5%
35928,7.5%
35929,12%
35930,8%
35931,5.4%
35932,12%
35933,3%
35934,7%
35935,15%
35936,1%
35937,7%
35938,25%
35939,2%
35940,7%
35941,10%
35942,20%
35943,25%
35944,20%
35945,13.3%
35946,10%
35947,16%
35948,9.9%
35949,16%
35950,20%
35951,32%
35952,20%
35953,0.46%
35954,20%
35955,4%
35956,4%
35957,2%
35958,1.6%
35959,6.4%
35960,7%
35961,3%
35962,16%
35963,17.2%
35964,11.1%
35965,2%
35966,5.6%
35967,3.6%
35968,5.6%
35969,2%
35970,2%
35971,2%
35972,10%
35973,10%
35974,7.5%
35975,2.3%
35976,12%
35977,2.5%
35978,8%
35979,5.4%
35980,2.4%
35981,2.59%
35982,1.4%
35983,132.3%
35984,5%
35985,7%
35986,261.8%
35987,33%
35988,66%
35989,23%
35990,200percent
35991,6.5%
35992,6.7%
35993,6.5%
35994,6.5%
35995,4.1percentage point
35996,0.7percentage point
35997,6.7%
35998,3%
35999,63percent
36000,50%
36001,7.8%
36002,21%
36003,5%
36004,17%
36005,1%
36006,95%
36007,5%
36008,40%
36009,27%
36010,1.5%
36011,4%
36012,6%
36013,0.1%
36014,5.3%
36015,0.8%
36016,1%
36017,17.5%
36018,2.4%
36019,18.3%
36020,2.6%
36021,7.1%
36022,20.5%
36023,2.7%
36024,31%
36025,0.1%
36026,13.1%
36027,12.7%
36028,8.9%
36029,9.5%
36030,1%
36031,10%
36032,1.1%
36033,1.5%
36034,2%
36035,2%
36036,1.5%
36037,20%
36038,2.66%
36039,2.67%
36040,1%
36041,3.5%
36042,13%
36043,20%
36044,6%
36045,2.5%
36046,8%
36047,7.0%
36048,6.5%
36049,2.0%
36050,1.0%
36051,12.5percent
36052,50percent
36053,7percent
36054,57.0%
36055,56.9%
36056,64.2%
36057,1.98%
36058,10%
36059,100percent
36060,24.5percent
36061,4percent
36062,60percent
36063,10.3percent
36064,7.4percent
36065,50percent
36066,2.1percent
36067,4.5percent
36068,13percent
36069,5percent
36070,30percent
36071,50percent
36072,39percent
36073,39percent
36074,3%
36075,10%
36076,15%
36077,25%
36078,2percent
36079,9%
36080,5%
36081,67percent
36082,6percent
36083,7percent
36084,5percent
36085,3.5%
36086,3%
36087,3.1%
36088,3%
36089,43%
36090,30%
36091,20%
36092,47%
36093,27%
36094,50%
36095,45%
36096,25%
36097,8%
36098,14%
36099,5%
36100,36%
36101,3.5%
36102,7.5%
36103,0.4%
36104,10.2%
36105,6.3%
36106,40%
36107,20%
36108,18%
36109,2%
36110,77%
36111,73%
36112,24%
36113,76%
36114,56%
36115,83%
36116,42%
36117,45%
36118,40%
36119,62.5%
36120,70%
36121,6%
36122,3%
36123,5.2%
36124,2.4%
36125,45%
36126,80%
36127,7.9%
36128,3.7%
36129,2%
36130,0.9%
36131,2.63%
36132,Thuspercent
36133,51%
36134,82%
36135,51%
36136,80%
36137,63%
36138,95%
36139,63%
36140,93%
36141,smallerpercent
36142,Onlypercent
36143,1.5percent
36144,2.0percent
36145,casepercent
36146,74%
36147,67%
36148,Thepercent
36149,71%
36150,73%
36151,7.9%
36152,6.3%
36153,3.0percent
36154,averagepercent
36155,2.6percent
36156,lowestpercent
36157,74percent
36158,79percent
36159,3percent
36160,6.0percent
36161,2.0percent
36162,2%
36163,1.5%
36164,1.8%
36165,1.5%
36166,1.8%
36167,4.2%
36168,1.5percent
36169,1.5percent
36170,0.2percent
36171,0.2percent
36172,0.8percent
36173,0.4percent
36174,0.9percent
36175,0.5percent
36176,0.1percent
36177,11%
36178,0.1%
36179,9.9%
36180,0.2%
36181,11percent
36182,10%
36183,40%
36184,64percent
36185,higherpercent
36186,Eightypercent
36187,40percent
36188,80percent
36189,15%
36190,VIX%
36191,1%
36192,4.4%
36193,14%
36194,1%
36195,3%
36196,3%
36197,2%
36198,2.55%
36199,2%
36200,4.2%
36201,2.9%
36202,2.5%
36203,1.8%
36204,1.8%
36205,2.4%
36206,3.3%
36207,4.0%
36208,7.5%
36209,36%
36210,37.9%
36211,21%
36212,20percent
36213,98percent
36214,97percent
36215,27percent
36216,6percent
36217,3percent
36218,7percent
36219,90percent
36220,4percent
36221,22percent
36222,3percent
36223,28percent
36224,18percent
36225,18percent
36226,9percent
36227,3percent
36228,50percent
36229,13percent
36230,12.8percent
36231,30percent
36232,7percent
36233,12percent
36234,90percent
36235,80percent
36236,23percent
36237,24percent
36238,1.8%
36239,yearpercent
36240,30percent
36241,3.7percent
36242,3percent
36243,5.1percent
36244,4.7percent
36245,19percent
36246,7percent
36247,6percent
36248,7percent
36249,6percent
36250,25percent
36251,30percent
36252,1.5percent
36253,7.5percent
36254,13%
36255,6.4%
36256,5.7%
36257,4%
36258,14%
36259,3%
36260,42percent
36261,3.9percent
36262,16percent
36263,25percent
36264,1.6percent
36265,28percent
36266,almostpercent
36267,Aspercent
36268,32percent
36269,73percent
36270,56percent
36271,9percent
36272,8percent
36273,15percent
36274,5percent
36275,17percent
36276,9percent
36277,40%
36278,2.5%
36279,2%
36280,1.1%
36281,2.5%
36282,3.50%
36283,1.55%
36284,3%
36285,1.25%
36286,7.4%
36287,30%
36288,10%
36289,10%
36290,19%
36291,80%
36292,10%
36293,60%
36294,5%
36295,5%
36296,15%
36297,30%
36298,8.1percent
36299,4.5percent
36300,9%
36301,1.2%
36302,57%
36303,21%
36304,25%
36305,15%
36306,40%
36307,17%
36308,17%
36309,2%
36310,1%
36311,8%
36312,4%
36313,4%
36314,16%
36315,20%
36316,9%
36317,10.69%
36318,9.96%
36319,17%
36320,116%
36321,75%
36322,notepercent
36323,100%
36324,13%
36325,10%
36326,10percent
36327,40%
36328,10%
36329,10%
36330,8%
36331,39%
36332,47%
36333,69%
36334,30%
36335,100percent
36336,25percent
36337,40percent
36338,1.2%
36339,65%
36340,10%
36341,4%
36342,3%
36343,smallerpercent
36344,2%
36345,7.7%
36346,showpercent
36347,7.5%
36348,6.9%
36349,10%
36350,6.1%
36351,10%
36352,10%
36353,19%
36354,80%
36355,10%
36356,10%
36357,10%
36358,0.2%
36359,1percent
36360,1percent
36361,1percent
36362,1percent
36363,1percent
36364,1percent
36365,1percent
36366,1percent
36367,1percent
36368,1percent
36369,1percent
36370,1percent
36371,4.3%
36372,4.4%
36373,4.26%
36374,48%
36375,40%
36376,4%
36377,8%
36378,52%
36379,80%
36380,27%
36381,12%
36382,14%
36383,15.6%
36384,2%
36385,3.5%
36386,16%
36387,8.2%
36388,9.4%
36389,80%
36390,2.63%
36391,1%
36392,showpercent
36393,2%
36394,1.2%
36395,0.6%
36396,1.6%
36397,0.9%
36398,0.7%
36399,1.0%
36400,1.5%
36401,80%
36402,1%
36403,1.6%
36404,3.0percent
36405,halfpercentage point
36406,2.7%
36407,1.6%
36408,0.8%
36409,0.9%
36410,0.8%
36411,1.0%
36412,0.1%
36413,0.9%
36414,0.2%
36415,10%
36416,5%
36417,3%
36418,3%
36419,2%
36420,3%
36421,10%
36422,6.1%
36423,14.4%
36424,10%
36425,47%
36426,0.6%
36427,24%
36428,16percent
36429,44percent
36430,7percent
36431,3percent
36432,10percent
36433,85.9percent
36434,90percent
36435,17percent
36436,64percent
36437,22percent
36438,14percent
36439,18percent
36440,44percent
36441,55percent
36442,10.0%
36443,6.7%
36444,6.7%
36445,4.8%
36446,5.2%
36447,2.4%
36448,20%
36449,17%
36450,47%
36451,39%
36452,33%
36453,44%
36454,24%
36455,16%
36456,30%
36457,41%
36458,46%
36459,42%
36460,35percent
36461,7percent
36462,6percent
36463,6percent
36464,5percent
36465,5percent
36466,5percent
36467,1.5%
36468,1.7%
36469,1.5%
36470,1.9%
36471,2.2%
36472,10percent
36473,30percent
36474,10%
36475,19.1percent
36476,6.1%
36477,5.2%
36478,14.4%
36479,48%
36480,14%
36481,8%
36482,20%
36483,90%
36484,50%
36485,10%
36486,10%
36487,5.6%
36488,13%
36489,10%
36490,11%
36491,0.25%
36492,0%
36493,0.75%
36494,0.7%
36495,13%
36496,5.6%
36497,10%
36498,0.25%
36499,0.5%
36500,0.2%
36501,0.7%
36502,20%
36503,40%
36504,10%
36505,8%
36506,0.5%
36507,2.4%
36508,0.2%
36509,6.0%
36510,7.2%
36511,6.3%
36512,2.8%
36513,3.0%
36514,0.7%
36515,1.4%
36516,20%
36517,5%
36518,16%
36519,7%
36520,4%
36521,450percent
36522,38percent
36523,9.0percent
36524,12.5%
36525,43.8%
36526,12.5%
36527,43%
36528,0.6%
36529,90%
36530,1.0%
36531,1.1%
36532,1.1%
36533,0.7%
36534,1.2%
36535,0.1%
36536,10percent
36537,10percent
36538,9.7percent
36539,5.8percent
36540,17percent
36541,11percent
36542,11percent
36543,6percent
36544,0.4percent
36545,9.5percent
36546,9percent
36547,1.6percent
36548,15percent
36549,5.64percent
36550,4.4percent
36551,10.7percent
36552,2percent
36553,2.5percent
36554,1.3percent
36555,1percent
36556,2.2percent
36557,10percent
36558,5percent
36559,0.25%
36560,0.10%
36561,0.7%
36562,1.6%
36563,4%
36564,70%
36565,50%
36566,40percent
36567,0.7percent
36568,5.4percent
36569,3%
36570,10%
36571,100%
36572,3.6%
36573,0.5%
36574,5.4%
36575,30percent
36576,10percent
36577,0.9%
36578,1.1%
36579,1.5%
36580,6.6%
36581,6.7%
36582,63.0%
36583,62.8%
36584,2%
36585,2.5%
36586,3.4%
36587,28%
36588,40%
36589,60%
36590,36%
36591,24%
36592,20%
36593,10%
36594,10%
36595,40%
36596,58%
36597,2percent
36598,1percent
36599,92%
36600,70%
36601,30%
36602,6.6%
36603,1.3%
36604,0.3%
36605,6.7%
36606,4.8%
36607,5.2%
36608,2.4%
36609,0.1%
36610,0.2%
36611,58.8%
36612,12.7%
36613,13.1%
36614,0.2percentage point
36615,63.0%
36616,6.6%
36617,6.584%
36618,6.681%
36619,6.6%
36620,6.7%
36621,6.5%
36622,20%
36623,6.6%
36624,6.7%
36625,recessionpercent
36626,63.0percent
36627,0.2percentage point
36628,58.8percent
36629,6.7%
36630,6.6%
36631,7.1%
36632,6.5%
36633,0.2%
36634,1.9%
36635,1.8%
36636,6.6%
36637,6.7%
36638,63.0%
36639,62.8%
36640,0.2%
36641,0.2%
36642,0.0%
36643,1.9%
36644,1.8%
36645,95%
36646,95%
36647,6.7%
36648,6.7%
36649,95%
36650,2.2%
36651,1.0%
36652,36%
36653,24%
36654,20%
36655,10%
36656,10%
36657,6%
36658,0.6%
36659,2.4%
36660,0.3%
36661,2.6%
36662,3.5%
36663,3.8%
36664,0.4%
36665,0.1%
36666,0.6%
36667,1.8%
36668,2.1%
36669,2.3%
36670,8percent
36671,80%
36672,1%
36673,2.2percent
36674,12percent
36675,1.33percentage point
36676,3.2percent
36677,halfpercentage point
36678,1.8percent
36679,0.3percent
36680,3.2percent
36681,3.6percent
36682,0.6percent
36683,1.6percent
36684,1.0percent
36685,8.4%
36686,9%
36687,52%
36688,81%
36689,1%
36690,10%
36691,22%
36692,12.9%
36693,4.4%
36694,1%
36695,6.7%
36696,40%
36697,6.6%
36698,6.5%
36699,6.5%
36700,2%
36701,6.7%
36702,6.7%
36703,6.7%
36704,0.3%
36705,2%
36706,0.40%
36707,0.20%
36708,2%
36709,70%
36710,46%
36711,50%
36712,highestpercent
36713,debtpercent
36714,3percent
36715,2.5percent
36716,2.71percent
36717,44percent
36718,4.5percent
36719,10percent
36720,1percent
36721,2percent
36722,3percent
36723,0.3percent
36724,3percent
36725,5percent
36726,10percent
36727,6.7percent
36728,4.7percent
36729,8.5percent
36730,65percent
36731,37percent
36732,7percent
36733,18percent
36734,3%
36735,4.7percent
36736,4%
36737,1.3%
36738,1.1%
36739,1%
36740,1.4%
36741,8%
36742,2percentage point
36743,7.3940%
36744,1%
36745,12.5%
36746,43.8%
36747,12.5%
36748,43%
36749,39%
36750,12%
36751,2.8%
36752,0.33%
36753,50.5percent
36754,49.5percent
36755,177%
36756,48%
36757,7.6%
36758,perspectivepercent
36759,34%
36760,largepercent
36761,ninepercent
36762,2%
36763,71%
36764,18%
36765,220%
36766,0.3%
36767,26.03%
36768,25.98%
36769,Thepercent
36770,67percent
36771,55percent
36772,7percent
36773,1percent
36774,12percent
36775,8percent
36776,19percent
36777,5.5percent
36778,Aspercent
36779,77%
36780,25%
36781,25%
36782,6%
36783,9%
36784,1%
36785,41%
36786,18%
36787,100%
36788,22%
36789,1%
36790,177%
36791,2%
36792,30%
36793,smallpercent
36794,30%
36795,99%
36796,10%
36797,20%
36798,2%
36799,70%
36800,95%
36801,96%
36802,showpercent
36803,cumulativepercent
36804,cumulativepercent
36805,36%
36806,3.3%
36807,57.4%
36808,24%
36809,50%
36810,36%
36811,50%
36812,1.1%
36813,2.9%
36814,2.6%
36815,4%
36816,25%
36817,40%
36818,50%
36819,30%
36820,10%
36821,4%
36822,6%
36823,6percent
36824,5.8percent
36825,tinypercent
36826,52%
36827,8percentage point
36828,39percent
36829,54percent
36830,2percentage point
36831,52percent
36832,45percent
36833,8percentage point
36834,39percent
36835,54percent
36836,44percent
36837,7percentage point
36838,13.3%
36839,14.7%
36840,70%
36841,50%
36842,20%
36843,20%
36844,16.4%
36845,18.1%
36846,balancepercent
36847,reservepercent
36848,fullpercentage point
36849,1.2%
36850,40%
36851,2%
36852,20%
36853,2%
36854,1%
36855,1.5%
36856,4%
36857,2.66%
36858,1.2%
36859,0.3%
36860,36percent
36861,69percent
36862,4.5percent
36863,3.2percent
36864,6.3percent
36865,5.8percent
36866,10%
36867,15%
36868,1.1%
36869,0.9%
36870,0.9%
36871,0.3%
36872,1.7%
36873,2%
36874,10.6%
36875,0.1%
36876,10%
36877,4%
36878,0.8percent
36879,10.6percent
36880,10percent
36881,0.7percent
36882,0.9percent
36883,1.22percent
36884,1.11percent
36885,2.724percent
36886,2.717percent
36887,4.9percent
36888,0.2percent
36889,0.4percent
36890,0.1percent
36891,0.3percent
36892,0.6percent
36893,15percent
36894,12percent
36895,7.1%
36896,7%
36897,20%
36898,20%
36899,120%
36900,50%
36901,400%
36902,8%
36903,7%
36904,16%
36905,10%
36906,15%
36907,85%
36908,93%
36909,84%
36910,17%
36911,0.3%
36912,0.2%
36913,97%
36914,3%
36915,2%
36916,1%
36917,1.3%
36918,1.2%
36919,1.1%
36920,2percent
36921,18%
36922,15.6percent
36923,casepercent
36924,24%
36925,44%
36926,43%
36927,7.7%
36928,2%
36929,1.5%
36930,7%
36931,19%
36932,10%
36933,13%
36934,52%
36935,95%
36936,7.7%
36937,2%
36938,5%
36939,6.9%
36940,2%
36941,30%
36942,Chinapercent
36943,1%
36944,7%
36945,1.7%
36946,6.5%
36947,nearlypercentage point
36948,1percent
36949,2percent
36950,2percent
36951,halfpercentage point
36952,2percent
36953,2percent
36954,2percent
36955,4percent
36956,80percent
36957,3%
36958,20%
36959,16%
36960,5.6%
36961,13%
36962,7.7percent
36963,2.8percent
36964,30percent
36965,75percent
36966,58percent
36967,3percent
36968,5%
36969,9%
36970,13%
36971,0.4%
36972,26%
36973,21%
36974,74%
36975,91%
36976,10.5%
36977,9.3%
36978,2.5%
36979,99percent
36980,1percent
36981,70percent
36982,17percent
36983,5.0percent
36984,8.0percent
36985,7.7percent
36986,14.2percent
36987,11.4percent
36988,15.7percent
36989,1.6percentage point
36990,40.3percent
36991,10percent
36992,5.6%
36993,13%
36994,17%
36995,18%
36996,3%
36997,15.84%
36998,18.63%
36999,3%
37000,100%
37001,1000%
37002,16%
37003,16000%
37004,1%
37005,2%
37006,3%
37007,3.626%
37008,3%
37009,167%
37010,75.7%
37011,790799%
37012,20%
37013,82%
37014,135000%
37015,7.6%
37016,140%
37017,47%
37018,1.28%
37019,2.04%
37020,2.27%
37021,2.21%
37022,Thepercent
37023,10%
37024,88%
37025,37%
37026,4.4%
37027,22.3%
37028,6%
37029,5.4%
37030,5.7%
37031,6.2%
37032,5.4%
37033,8%
37034,99%
37035,99percent
37036,99%
37037,1%
37038,one-percent
37039,1%
37040,1%
37041,10%
37042,911%
37043,69%
37044,11%
37045,15%
37046,1.8%
37047,6%
37048,3.7%
37049,17%
37050,7.25%
37051,10.5%
37052,4.5%
37053,47%
37054,19%
37055,11%
37056,66%
37057,27%
37058,22%
37059,30%
37060,40%
37061,40%
37062,0.9%
37063,1.5%
37064,11percent
37065,9percent
37066,23percent
37067,20percent
37068,30percent
37069,19percent
37070,38%
37071,45%
37072,51%
37073,40%
37074,60%
37075,25%
37076,12%
37077,1.2%
37078,25%
37079,12%
37080,20%
37081,5.0%
37082,1.5%
37083,2%
37084,17%
37085,1.5percent
37086,50percent
37087,10percent
37088,largepercent
37089,1.5percent
37090,65percent
37091,20percent
37092,25percent
37093,1.77%
37094,65percent
37095,20percent
37096,25percent
37097,5.5%
37098,14%
37099,7%
37100,3.4%
37101,2.8%
37102,7.1%
37103,7%
37104,0.5%
37105,10percent
37106,8.3percent
37107,10.6percent
37108,4.3percent
37109,7.7percent
37110,33percent
37111,34percent
37112,25percent
37113,7.5percent
37114,7.8percent
37115,0.5%
37116,0.3%
37117,0.4%
37118,0.9%
37119,0.9%
37120,0.6%
37121,2.5%
37122,1.6%
37123,2.5%
37124,2.4%
37125,2.5%
37126,1.6%
37127,1.4%
37128,2.4%
37129,0.6%
37130,3.7%
37131,2%
37132,3.5%
37133,3.0%
37134,7%
37135,4%
37136,33%
37137,70%
37138,2.8%
37139,9.7%
37140,15.8%
37141,32%
37142,8.6%
37143,7.4%
37144,5%
37145,4.5%
37146,72percent
37147,42percent
37148,90percent
37149,seventypercent
37150,80%
37151,90percent
37152,3percent
37153,one-percent
37154,99%
37155,60%
37156,9.3%
37157,1.4%
37158,70%
37159,6.6%
37160,6.2%
37161,similaritypercent
37162,23.1%
37163,22.6%
37164,40percent
37165,29%
37166,29%
37167,66%
37168,0.2%
37169,2.75%
37170,1.8%
37171,0.5%
37172,2.1%
37173,0.2%
37174,3.2%
37175,5.3%
37176,9.8%
37177,8.2%
37178,13.3%
37179,6.2%
37180,0.23%
37181,9.7%
37182,17.5%
37183,12.8%
37184,45.8%
37185,9.2%
37186,7.7%
37187,7.4%
37188,8.6%
37189,7%
37190,6%
37191,6%
37192,3%
37193,1%
37194,1%
37195,2%
37196,3%
37197,10%
37198,3%
37199,2%
37200,1%
37201,1.5%
37202,5%
37203,0.1%
37204,0.7%
37205,0.1%
37206,0.4%
37207,0.4percentage point
37208,2.2%
37209,fullpercentage point
37210,2.8%
37211,3.2%
37212,0.2percentage point
37213,0.4percentage point
37214,2.2%
37215,1.6%
37216,2.6%
37217,2.0%
37218,2.5%
37219,3%
37220,2.4%
37221,3.2%
37222,1.9%
37223,2.6%
37224,4.5%
37225,0.4%
37226,0.2%
37227,0.1%
37228,0.1%
37229,0.7%
37230,0.3%
37231,0.2%
37232,0.1%
37233,0.6%
37234,0.1%
37235,0.3%
37236,0.2%
37237,0.3%
37238,0.7%
37239,2.8%
37240,3.2%
37241,fairpercent
37242,28percent
37243,2%
37244,2%
37245,1.3%
37246,2%
37247,3%
37248,18%
37249,100%
37250,100percent
37251,23percent
37252,30percent
37253,28.0%
37254,27.7%
37255,12.1%
37256,3.1%
37257,1.0%
37258,6.0%
37259,04%
37260,0.2%
37261,1percent
37262,29percent
37263,14percent
37264,4.3percent
37265,16percent
37266,8.7percent
37267,4.82percent
37268,0.58percent
37269,0.54percent
37270,6percent
37271,7percent
37272,15percent
37273,17.9percent
37274,13.9percent
37275,50percent
37276,1.79%
37277,0.2%
37278,9.98percent
37279,436%
37280,3%
37281,20%
37282,15%
37283,47%
37284,42%
37285,45%
37286,76%
37287,10%
37288,0.6%
37289,6%
37290,3.3%
37291,2.2%
37292,56.3%
37293,measurepercent
37294,28%
37295,0.7%
37296,0.4%
37297,0.1%
37298,0.3%
37299,0.2%
37300,0.8%
37301,0.8%
37302,0.9%
37303,4.1%
37304,1.4%
37305,1.2%
37306,2.6%
37307,1.7%
37308,7.3%
37309,7.2%
37310,5.8%
37311,5.6%
37312,2.9%
37313,3.2%
37314,3.9%
37315,5.6%
37316,5.7%
37317,38%
37318,54%
37319,77%
37320,74%
37321,20%
37322,21%
37323,1percent
37324,40percent
37325,1.5percentage point
37326,6.6percent
37327,36percent
37328,6.6percent
37329,6.5percent
37330,6.5percent
37331,3.04percent
37332,0.25percent
37333,7percent
37334,1.5percent
37335,2percent
37336,1.5percent
37337,10percent
37338,7percent
37339,8.37percent
37340,17.5percent
37341,10%
37342,40%
37343,51%
37344,44%
37345,43%
37346,81%
37347,77%
37348,23%
37349,8%
37350,8%
37351,18%
37352,8%
37353,60%
37354,57%
37355,10%
37356,12%
37357,57%
37358,79%
37359,82%
37360,126%
37361,4000%
37362,100%
37363,20%
37364,40%
37365,26%
37366,3.3%
37367,3.1%
37368,2.9%
37369,0.3%
37370,0.2%
37371,78.5%
37372,78.9%
37373,79.3%
37374,79.2%
37375,0.8%
37376,0.1%
37377,1%
37378,5%
37379,2%
37380,1.5%
37381,1%
37382,1.3%
37383,3%
37384,1%
37385,2%
37386,25%
37387,6%
37388,10%
37389,15%
37390,15%
37391,6%
37392,40percent
37393,1.5%
37394,28%
37395,90percent
37396,80percent
37397,5.5percent
37398,highestpercent
37399,70percent
37400,4.2percent
37401,8.5%
37402,21%
37403,11%
37404,20%
37405,50%
37406,32%
37407,23percent
37408,0.4%
37409,0.1%
37410,8.5%
37411,3.2%
37412,6%
37413,3.1%
37414,1.9%
37415,1.5%
37416,1.7%
37417,3.5%
37418,5%
37419,2%
37420,3.9%
37421,0.1%
37422,0.3%
37423,0.4%
37424,0.3%
37425,0.3%
37426,0.1%
37427,0.2%
37428,1.1percent
37429,0.4percent
37430,0.2percent
37431,1.5percent
37432,2.74percent
37433,0.2percent
37434,0.1percent
37435,0.3percent
37436,0.3percent
37437,29percent
37438,36percent
37439,10percent
37440,4.3percent
37441,30percent
37442,8.9percent
37443,40%
37444,58%
37445,2percent
37446,1percent
37447,92%
37448,57%
37449,240%
37450,17%
37451,25%
37452,25%
37453,8%
37454,1%
37455,12%
37456,1percent
37457,10percent
37458,20percent
37459,10percent
37460,40percent
37461,10percent
37462,4.1percent
37463,0.6%
37464,0.6percent
37465,3.2%
37466,4.2%
37467,0.3%
37468,2.2%
37469,11%
37470,15%
37471,24percent
37472,17percent
37473,17percent
37474,Twenty-fourpercent
37475,Seventeenpercent
37476,Fiftypercent
37477,17.4percent
37478,17.8percent
37479,13.2percent
37480,13.2percent
37481,14.3percent
37482,13.9percent
37483,7.4percent
37484,7.7percent
37485,80%
37486,20%
37487,85%
37488,15%
37489,7.7%
37490,7.4%
37491,6%
37492,20%
37493,31%
37494,20%
37495,20%
37496,12%
37497,10%
37498,4%
37499,3%
37500,23%
37501,20%
37502,5percent
37503,4.5percent
37504,4.8percent
37505,19.7percent
37506,10.9%
37507,2.1%
37508,3.8percent
37509,3.3percent
37510,3.7percent
37511,3.6percent
37512,7percent
37513,7.4%
37514,7.7%
37515,6.9%
37516,20%
37517,5%
37518,6.9%
37519,20%
37520,5%
37521,8.6%
37522,8.2%
37523,1percent
37524,showpercent
37525,80percent
37526,1percent
37527,0.08percent
37528,1.33percent
37529,7percent
37530,1.25percent
37531,27percent
37532,80percent
37533,90percent
37534,seventypercent
37535,80%
37536,90percent
37537,6.6%
37538,7%
37539,6.5%
37540,63%
37541,59%
37542,1.1percentage point
37543,5.5%
37544,63%
37545,66%
37546,4%
37547,10%
37548,1%
37549,2%
37550,18%
37551,24%
37552,10%
37553,20%
37554,90%
37555,90%
37556,80%
37557,14.5%
37558,24.6%
37559,0.1%
37560,2.8%
37561,1.6%
37562,3.4%
37563,28.8%
37564,7.4%
37565,8.3%
37566,98%
37567,12.5%
37568,10.8%
37569,20%
37570,6%
37571,92%
37572,43%
37573,95%
37574,16.7%
37575,28.7%
37576,tradepercent
37577,1%
37578,0.96%
37579,0.67%
37580,2%
37581,2%
37582,casepercent
37583,24%
37584,44%
37585,100%
37586,22%
37587,1%
37588,177%
37589,2%
37590,30%
37591,smallpercent
37592,30%
37593,99%
37594,10%
37595,20%
37596,2%
37597,40%
37598,1.2%
37599,2%
37600,0.79%
37601,7.2percent
37602,6.22percent
37603,63.4percent
37604,59.7percent
37605,65percent
37606,27percent
37607,7percent
37608,7.7%
37609,18%
37610,8%
37611,57percent
37612,80%
